Course Prefix,Course Number,Statewide Course Title,H.S. Credit,H.S. Grad Code,GE Core Subject Area
ITA,X240,Intermediate Conversation I,0.5,EL,
ITA,X241,Intermediate Conversation II,0.5,EL,
JPN,X120,"Elementary Japanese I, Concentrated",1,EL,
JPN,X121,"Elementary Japanese II, Concentrated",1,EL,
JPN,X130,Beginning Japanese I,1,EL,
JPN,X131,Beginning Japanese II,1,EL,
JPN,X200,Intermediate Japanese I,0.5,EL,
JPN,X201,Second-Year Japanese 2,0.5,EL,
JPN,X202,Intermediate Japanese Reading and Conversation I- Upper,0.5,EL,
JPN,X220,Intermediate Japanese Reading and Conversation I,1,EL,
JPN,X221,Intermediate Japanese Reading and Conversation II,1,EL,
JPN,X230,Intermediate Readings,1,EL,
JPN,X231,Intermediate Readings II,1,EL,
LAT,X101,Elementary Latin II,0.5,EL,
LAT,X104,Elementary Latin 3,0.5,EL,
LAT,X120,"Elementary Latin I, Concentrated",1,EL,
LAT,X121,"Elementary Latin II, Concentrated",1,EL,
LAT,X130,Elementary Accelerated,1,EL,
LAT,X131,Elementary Accelerated,1,EL,
LAT,X200,Review Latin Grammar & Translation,0.5,EL,
LAT,X220,Intermediate Latin Reading I,1,EL,
LAT,X221,Intermediate Latin Reading II,1,EL,
LIN,X670,English Grammar,0.5,EN,
LIT,X010,Introduction to Fiction,1,EN,
LIT,X020,The Short Story,1,EN,
LIT,X030,Introduction to Poetry,1,EN,
LIT,X081,Introduction to Modern Literature,1,EN,
LIT,X090,Introduction to Contemporary Literature,1,EN,
LIT,X100,Introduction to World Literature,1,EN,
LIT,X110,World Literature through the Renaissance,1,EN,
LIT,X120,World Literature Since the Renaissance,1,EN,
LIT,X310,Science Fiction and Fantasy,1,EN,
LIT,X380,Introduction to Women in Literature,1,EN,
MAC,X106,Combined College Algebra/Pre-Calculus,1,MA,
MAC,X114,Trigonometry,1,MA,
MAC,X140,Precalculus Algebra,1,MA,
MAC,X147,Precalculus Algebra/Trigonometry,1,MA,
MAC,X223,Calculus for Architecture I,1,MA,
MAC,X233,Calculus for Business & Soc. Science I,1,MA,
MAC,X241,Life Science Calculus I,1,MA,
MAC,X242,Life Science Calculus II,1,MA,
MAC,X253,Calculus for Engineering Technology I,1,MA,
MAC,X281,Engineering Calculus I,1,MA,
MAC,X282,Engineering Calculus II,1,MA,
MAC,X283,Engineering Calculus III,1,MA,
MAC,X312,Calculus with Analytic Geometry II,1,MA,
MAC,X313,Calculus with Analytic Geometry III,1,MA,
MAD,X104,Discrete Mathematics,1,MA,
MAD,X107,Discrete Mathematics,1,MA,
MAD,X401,Numerical Analysis,1,MA,
MAD,X502,Introduction to Computational Mathematics (L),1,MA,
MAN,X021,Management Theory-Majors/Non-Majors,0.5,EL,
MAP,X302,Differential Equations I,1,MA,
MAP,X305,Different. Equations for Engineers,1,MA,
MAR,X011,Principles of Marketing,0.5,EL,
MAS,X103,Introductory Linear Algebra I,1,MA,
MAS,X105,Linear Algebra I (Calc. II Prereq),1,MA,
MAS,X106,Linear Algebra I,1,MA,
MAS,X107,Linear Algebra II,1,MA,
MAS,X203,Introductory Number Theory,1,MA,
MAS,X300,Introductory Abstract Algebra,1,MA,
MAS,X301,Introductory Abstract Algebra I,1,MA,
MAT,X033,Intermediate Algebra,0.5,MA,
MAT,X033C,Intermediate Algebra,1,MA,
MCB,X000,Intro Microbiology: No Prerequisites,0.5,EQ,
MCB,X000/L,Intro Microbiology: No Prerequisites,1,EQ,
MCB,X000C,Intro Microbiology: No Prerequisites,1,EQ,
MCB,X004,Introductory Microbiology: Biology/Chemistry  Prerequisite,0.5,EQ,
MCB,X004/L,Introductory Microbiology: Biology/Chemistry Prerequisite,1,EQ,
MCB,X004C,Introductory Microbiology: Biology/Chemistry  Prerequisite,1,EQ,
MCB,X010,Intro Microbiology (Biology/Chemistry),0.5,EQ,
MCB,X010/L,Intro Microbiology (Biology/Chemistry),1,EQ,
MCB,X010C,Intro Microbiology (Biology/Chemistry),1,EQ,
MCB,X020,Microbiology,0.5,EQ,
MCB,X020/L,Microbiology,1,EQ,
MCB,X020C,Microbiology,1,EQ,
MET,X0001,Weather & Climate- General Survey,0.5,EQ,
MET,X010,Gen Descriptive Intro to the Atmosphere,0.5,EQ,
MET,X010/L,Gen Descriptive Intro to the Atmosphere,1,EQ,
MET,X010C,Gen Descriptive Intro to the Atmosphere,1,EQ,
MGF,X106,Mathematics for Liberal Arts I,1,MA,
MGF,X107,Mathematics for Liberal Arts II,1,MA,
MGF,X108,Honors Mathematical Ideas & Explorations,1,MA,
MGF,X131,Mathematics in Context,1,MA,
MHF,X300,Elementary Mathematical Logic,1,MA,
MKA,X090,Business Development Manager OCP A (300 hours),2,CT,
MKA,X432,"Salesperson, Retail OCP A (300 hours)",2,CT,
MTG,X204,Informal Geometry,1,MA,
MTG,X206,College Geometry,1,MA,
MUH,X011,Intro. to Music History- Apprec I,0.5,PF,
MUH,X012,Intro to Music History- Apprec II,0.5,PF,
MUH,X017,Contemporary Jazz,0.5,PF,
MUH,X018,History and Appreciation of Jazz,0.5,PF,
MUH,X019,History & Appreciation of Pop Music,0.5,PF,
MUH,X051,Music/Tribal & Folk Cultures-Nonmajor,0.5,PF,
MUH,X110,Introduction to Music History & Lit,0.5,PF,
MUH,X111,Introduction to Mus History I,0.5,PF,
MUH,X112,Introduction to Music History,0.5,PF,
MUL,X110,Introduction to Music Literature,0.5,PF,
MUL,X112,Intro to Mus Lit II (Music Majors),0.5,PF,
MUL,X380,Jazz/Pop American Music,0.5,PF,
MUM,X600,Basic Audio Recording Tech,0.5,PF,
MUN,X310,Mixed Chorus- Lower Level,0.5,PF,
MUN,X340,Chamber Chorus- Lower Level,0.5,PF,
MUN,X341,Chamber Chorus,0.5,PF,
MUN,X460,Mixed Chamber Ens - Lower Level,0.5,PF,
MUS,X360,Introduction to Technology in Music,0.5,PF,
MUT,X001,Fundamentals Preparatory I,0.5,PF,
MUT,X011,Music Theory for Non Majors I,0.5,PF,
MUT,X111,Music Theory I,0.5,PF,
MUT,X112,Music Theory II,0.5,PF,
MUT,X116,2nd Yr Music Theory I,0.5,PF,
MUT,X117,2nd Yr Music Theory II,0.5,PF,
MUT,X121,Music Theory I- Integrated,0.5,PF,
MUT,X122,Music Theory II- Integrated,0.5,PF,
MUT,X126,Music Theory III- Integrated,0.5,PF,
MUT,X127,Music Theory IV- Integrated,0.5,PF,
OCB,X000,Survey of Marine Biology,0.5,EQ,
OCB,X000/L,Survey of Marine Biology,1,EQ,
OCB,X000C,Survey of Marine Biology,1,EQ,
OCB,X010,Introduction to Marine Biology,0.5,EQ,
OCB,X010/L,Introduction to Marine Biology,1,EQ,
OCB,X010C,Introduction to Marine Biology,1,EQ,
OCB,X630,Introduction to Marine Ecology,0.5,EQ,
OCB,X630/L,Introduction to Marine Ecology,1,EQ,
OCE,X000,The Marine Environment,0.5,EQ,
OCE,X008,Oceanography (U),0.5,EQ,
OCE,X008C,Oceanography (U),1,EQ,
OTA,X030,Assistant Digital Production Designer OCP C (150 hours),1,CT,
OTA,X040,Information Technology Assistant OCP A (150 hours),1,CT,
PCB,X023,Cell & Molecular,0.5,EQ,
PCB,X023/L,Cell & Molecular,1,EQ,
PCB,X030,Introduction to Ecology,0.5,EQ,
PCB,X030/L,Introduction to Ecology,1,EQ,
PCB,X030C,Introduction to Ecology,1,EQ,
PCB,X033,General Intro Ecology: Prereq,0.5,EQ,
PCB,X033C,General Intro Ecology: Prereq,1,EQ,
PCB,X043,General Ecology: Prereq.,0.5,EQ,
PCB,X063,Intro Genetics: Prereq.,0.5,EQ,
PCB,X063/L,Intro Genetics: Prereq.,1,EQ,
PCB,X099,Foundations of Human Physiology,0.5,EQ,
PCB,X099/L,Foundations of Human Physiology,1,EQ,
PCB,X610,Intro Genetics and Evolution,0.5,EQ,
PCB,X674,Evolution,0.5,EQ,
PCB,X703,Human Physiology I (Sci Majors),0.5,EQ,
PCB,X703/L,Human Physiology I (Sci Majors),1,EQ,
PCB,X703C,Human Physiology I (Sci Majors),1,EQ,
PET,X303,Appl. of Sci Princ to Cond Prog,0.5,PE,
PGY,X100,"Basic Photography for Nonmajors, Skills & Tech.",0.5,PF,
PGY,X180,Photographic Imaging Specialist 1,1.5,CT,
PGY,X181,Photographic Imaging Specialist 2,1.5,CT,
PGY,X182,Photography Specialist/Lab Technician,1,CT,
PGY,X183,Portrait Photographer 1,1.5,CT,
PGY,X184,Portrait Photographer 2,1.5,CT,
PGY,X185,Commercial Photographer,3,CT,
PGY,X190,Photography Specialist (150 hours),1,CT,
PGY,X191,Photography Technician (300 hours),2,CT,
PGY,X401,Basic B&W Film Photography I,0.5,PF,
PGY,X750,Creative Videomaking,0.5,PF,
PGY,X801,Contemporary Image Making Applications,0.5,PF,
PGY,X802,Intermediate Contemporary Imagining Applications,0.5,PF,
PHI,X100,Introduction to Logic,0.5,EL,
PHI,X600,Introduction to Ethics (L),0.5,EL,
PHI,X630,Contemporary Moral Issues (L),0.5,EL,
PHY,X001,Technical Phys (Single Course Overview),0.5,EQ,
PHY,X001/L,Technical Phys (Single Course Overview),0.5,EQ,
PHY,X004,Technical Phys I (Multiple Course Overview),0.5,EQ,
PHY,X004/L,Technical Phys I (Multiple Course Overview),0.5,EQ,
PHY,X005,Tech Physics II (Multiple Course Seq.),0.5,EQ,
PHY,X005/L,Tech Physics II (Multiple Course Seq.),0.5,EQ,
PHY,X007,Physics for Health Related Technologies,0.5,EQ,
PHY,X007/L,Physics for Health Related Technologies,0.5,EQ,
PHY,X007C,Physics for Health Related Technologies,1,EQ,
PHY,X023,Survey of General Physics,0.5,EQ,
PHY,X025,Basic Physics (One Semester),0.5,EQ,
PHY,X025/L,Basic Physics (One Semester),0.5,EQ,
PHY,X044,Physics for Engineers II,0.5,EQ,
PHY,X049,General Physics W/Calculus II (2 Sem Seq.),0.5,EQ,
PHY,X049/L,General Physics W/Calculus II (2 Sem Seq.),0.5,EQ,
PHY,X049C,General Physics W/Calculus II (2 Sem Seq.),1,EQ,
PHY,X054,General Physics II (2 Sem Seq),0.5,EQ,
PHY,X054/L,General Physics II (2 Sem Seq),0.5,EQ,
PHY,X054C,General Physics II (2 Sem Seq),1,EQ,
PHY,X101,Elements of Modern Physics,0.5,EQ,
PHY,X101/L,Elements of Modern Physics,0.5,EQ,
PHY,X101C,Elements of Modern Physics,1,EQ,
POR,X120,"Elementary Portuguese I, Concentrated",1,EL,
POR,X121,"Elementary Portuguese II, Concentrated",1,EL,
POR,X130,Elementary Accelerated Portuguese,1,EL,
POR,X131,Elem Accelerated Course I,1,EL,
POR,X140,Portuguese for Spanish Speakers I,0.5,EL,
POR,X141,Portuguese for Advanced Students of Spanish II,0.5,EL,
POR,X200,Intm Lang: Gen Rev Basic Skills I,0.5,EL,
POR,X201,Intm Lang: Gen Rev Basic Skills II,0.5,EL,
POR,X202,Intermediate Portuguese Language I- Upper,0.5,EL,
POR,X220,Intermediate Portuguese Reading and Conversation I,1,EL,
POS,X112,State and Local Governments,0.5,EL,
PSB,X000,Basic Psychobiology,0.5,EQ,
PSB,X002,Intro to Psychobiology,0.5,EQ,
PSC,X001,Ideas and Philosophy of Science,0.5,EQ,
PSC,X001C,Ideas and Philosophy of Science,1,EQ,
PSC,X121,Topics in Physical Science,0.5,EQ,
PSC,X121/L,Topics in Physical Science,0.5,EQ,
PSC,X121C,Topics in Physical Science,1,EQ,
PSC,X341,Fundamentals of Physics & Chemistry I,0.5,EQ,
PSC,X341/L,Fundamentals of Physics & Chemistry I,0.5,EQ,
PSC,X341C,Fundamental of Physics & Chemistry I,1,EQ,
QMB,X001,Business Mathematics,0.5,MA,
QMB,X100,Basic Business Statistics,1,MA,
QMB,X600,Introduction to Management Science,1,MA,
REA,X505,Vocabulary,0.5,EL,
REL,X300,World Religions,0.5,EL,
RTV,X201,Fundamentals of Broadcast Production (L),0.5,PF,
RTV,X300,Broadcast News,0.5,PF,
RUS,X104,Beginning Russian 3,0.5,EL,
RUS,X120,"Elementary Russian I, Concentrated",1,EL,
RUS,X121,"Elementary Russian II, Concentrated",1,EL,
RUS,X130,Elementary Russian I- Accelerated,1,EL,
RUS,X131,Elementary Russian II- Accelerated,1,EL,
RUS,X200,Intermediate Russian I,0.5,EL,
RUS,X201,Intermediate Russian II,0.5,EL,
RUS,X220,Intermediate Russian Reading and Conversation I,1,EL,
RUS,X221,Intermediate Russian Reading and Conversation II,1,EL,
RUS,X240,Intermediate Conversation I,0.5,EL,
RUS,X241,Intermediate Conversation II,0.5,EL,
SLS,X001,Prep Student Development,0.5,EL,
SLS,X101,Orientation to the Inst & Its Resources,0.5,EL,
SLS,X103,Living and Learning in a Knowledge Based Environment,0.5,EL,
SLS,X106,First Year Experience Orientation,0.5,EL,
SLS,X122,Combo: Orientation/Personal-Social Dev,0.5,EL,
SLS,X261,General Leadership,0.5,EL,
SLS,X301,Career Development Comprehensive,0.5,EL,
SLS,X301C,Career Development Comprehensive,1,EL,
SLS,X501,College Study Skills 1,0.5,EL,
SLS,X510,Preparing for Student Success,0.5,EL,
SLS,X515,Cornerstone Experience,0.5,EL,
SLS,X931,Special Topics/Seminars,0.5,EL,
SPC,X017,Fundamentals of Speech (L),0.5,PF,
SPC,X023,Fundamentals of Speech,0.5,PF,
SPC,X024,Pub Speaking Gr Disc Interpsnl & List,0.5,PF,
SPC,X065,Communication in Business (L),0.5,PF,
SPC,X300,Fundamentals of Interpersonal Com,0.5,PF,
SPC,X511,Argumentation and Debate,0.5,PF,
SPC,X541,Persuasion,0.5,PF,
SPC,X600,Public Speaking,0.5,PF,
SPC,X603,Public Speaking and Group Discussions,0.5,PF,
SPC,X608,Public Speaking (L),0.5,PF,
SPN,X000,Basic Oral Expression I,0.5,EL,
SPN,X001,Beginning Oral Expression II,0.5,EL,
SPN,X100,Elementary Spanish I,0.5,EL,
SPN,X101,Elementary Spanish II,0.5,EL,
SPN,X120,"Elementary Spanish I, Concentrated",1,EL,
SPN,X121,"Elementary Spanish II, Concentrated",1,EL,
SPN,X125,Spanish 3,1,EL,
SPN,X130,Elementary Spanish I Accelerated,1,EL,
SPN,X131,Elementary Spanish II Accelerated,1,EL,
SPN,X200,Intm Level: Gen Rev Basic Skills I,0.5,EL,
SPN,X201,Intm Level: Gen Rev Basic Skills II,0.5,EL,
SPN,X220,Intermediate Reading and Conversation,1,EL,
SPN,X221,Reading and Conversation II,1,EL,
SPN,X230,Intermediate Reading I,1,EL,
SPN,X231,Intermediate Reading II,1,EL,
SPN,X233,Intermediate Reading in Spanish,0.5,EL,
SPN,X240,Intermediate Conversation I,0.5,EL,
SPN,X241,Intermediate Conversation II,0.5,EL,
SPN,X242,Intermediate Spanish,0.5,EL,
SPN,X300,Review Grammar and Syntax I,0.5,EL,
SPN,X301,Review Grammar and Syntax II,0.5,EL,
SPN,X340,Spanish for Speakers of Spanish,0.5,EL,
SPN,X341,Spanish for Speakers of Spanish II,0.5,EL,
SPN,X400,Conversation and Composition I,0.5,EL,
STA,X001,General Education Statistics,0.5,MA,
STA,X013,Basic Descript. & Inferential Statistics,1,MA,
STA,X014,Descriptive and Inferential Statistics,1,MA,
STA,X024,Introd. To Probability and Statistics II,1,MA,
STA,X032,Probability & Statistics for Engineering,1,MA,
STA,X037,Statistics with Calculus,1,MA,
STA,X111,Educational Statistics,1,MA,
STA,X122,Statistical Applic. in Social Science I,1,MA,
STA,X123,Statistical Applic. In Social Science II,1,MA,
STA,X173,Biostatistics,1,MA,
STA,X442,Probability,1,MA,
STA,X821,Stochastic Processes,1,MA,
STS,X300,Human Anatomy and Physiology,0.5,EQ,
STS,X300C,Human Anatomy and Physiology,1,EQ,
SWA,X130,Beginning Swahili 1,1,EL,
SWA,X131,Beginning Swahili 2,1,EL,
SWA,X200,Intermediate Swahili I,0.5,EL,
SWA,X201,Intermediate Swahili II,0.5,EL,
SYG,X000,Principles of Sociology,0.5,EL,
SYG,X010,Social Problems,0.5,EL,
SYG,X430,Marriage and Family,0.5,EL,
THE,X010,Theatre Appreciation and History,0.5,PF,
THE,X011,Theatre Appreciation and History II,0.5,PF,
THE,X020,Introduction to Theatre,0.5,PF,
THE,X071,Intro to Cinema Arts,0.5,PF,
THE,X100,Introduction to Theatre History,0.5,PF,
THE,X300,Dramatic Literature,0.5,PF,
THE,X305,Survey of Dramatic Literature,0.5,PF,
THE,X925,Colloquiums/Symposiums/Workshops,0.5,PF,
TPA,X000,Introduction to Theatre Design,0.5,PF,
TPA,X210,Stagecraft I,0.5,PF,
TPA,X220,Intro to Stage Lighting,0.5,PF,
TPA,X231,Advanced Theatre Costuming,0.5,PF,
TPP,X100,Introduction to Acting I,0.5,PF,
TPP,X110,Acting I,0.5,PF,
TPP,X111,Acting II,0.5,PF,
TPP,X700,Intro to Voice,0.5,PF,
WOH,X001,Survey of World Civilizations,0.5,WH,
WOH,X012,World History I,0.5,WH,
WOH,X022,World History II,0.5,WH,
WOH,X023,Modern World History to 1815,0.5,WH,
WOH,X030,World History since 1815,0.5,WH,
Z00,X503,Intro to Comparative Animal Behavior,0.5,EQ,
ZOO,X010,General Zoology I,0.5,EQ,
ZOO,X010/L,General Zoology I,0.5,EQ,
ZOO,X010C,General Zoology I,1,EQ,
ZOO,X503C,Intro to Comparative Animal Behavior W/Lab,1,EQ,
Course Prefix,Course Number,Statewide Course Title,H.S. Credit,H.S. Graduation Code,
ACO,0040,Accounting Clerk OCP B (300 hours),2,CT,
ACO,0041,Accounting Associate OCP C (300 hours),2,CT,
ACO,0042,Accounting Assistant OCP D (150 hours),1,CT,
ACR,0000,Overview of Air Conditioning (PSAV) (250 hours),1.5,CT,
ACR,0001,A/C and Refrigeration Theory (1 of 2) (250 hours),1.5,CT,
ACR,0002,A/C and Refrigeration Theory (2 of 2),0.5,CT,
ACR,0008,Basic Refrigeration Skills,0.5,CT,
ACR,0009,"Install, Maintain and Repair Basic Air Conditioning Systems",0.5,CT,
ACR,0012,Service Practices (250 hours),1.5,CT,
ACR,0013,HVAC R Intermediate Service Practices (250 hours),1.5,CT,
ACR,0022,Domestic Refrigeration,0.5,CT,
ACR,0041,"A/C, Refrigeration and Heating Helper OCP A (250 hours)",1.5,CT,
ACR,0043,"A/C, Refrigeration and Heating Mechanic Assistant OCP B (250 hours)",1.5,CT,
ACR,0044,"A/C, Refrigeration and Heating Technician OCP B (350 hours)",2,CT,
ACR,0045,Refrigeration Mechanic OCP D (350 hours),2,CT,
ACR,0046,Refrigeration Technician OCP B (450 hours),3,CT,
ACR,0047,"A/C, Refrigeration and Heating Mechanic (1 of 2) OCP C (250 hours)",1.5,CT,
ACR,0049,"A/C, Refrigeration and Heating Mechanic (2 of 2) OCP A (250 hours)",1.5,CT,
ACR,0060,Load Calculations/Psychometrics,0.5,CT,
ACR,0061,Psychometrics,0.5,CT,
ACR,0084,Cooling Appliance Technician (350 hours),2,CT,
ACR,0100,Basic Electricity (PSAV),0.5,CT,
ACR,0106,Applied Electricity,1,CT,
ACR,0107,Electricity Circuitry for HVAC Single Phase,0.5,CT,
ACR,0122,Refrigeration & AC Components (PSAV),1,CT,
ACR,0205,Compressors,0.5,CT,
ACR,0575,Light Commercial Refrigeration Technician,0.5,CT,
ACR,0577,HVAC Service and Installation- Intro,0.5,CT,
ACR,0578,Commercial Heating & AC Advanced,0.5,CT,
ACR,0601,Heat Pumps (PSAV),0.5,CT,
ACR,0602,Heat Pump Technology,1,CT,
ACR,0608,Residential Heating Systems,0.5,CT,
ACR,0610,"Heat Pumps, Electric Heat, Gas/Oil Furnaces & Boilers",0.5,CT,
ACR,0621,Fossil Fuel and Electric Heat,0.5,CT,
ACR,0622,Servicing Fossil Fuel & Electric Heating,0.5,CT,
ACR,0700,Central Residential A/C,0.5,CT,
ACR,0701,HVAC Troubleshooting,1,CT,
ACR,0704,Intro to Refrigeration/AC,1,CT,
ACR,0705,Mechanical Systems,0.5,CT,
ACR,0741,Commercial Refrigeration (PSAV),0.5,CT,
ACR,0815,Advanced Service Practices,0.5,CT,
ACR,0850,Trouble Shooting,1,CT,
ACR,0001C,A/C and Refrigeration Theory (1 of 2),0.5,CT,
ACR,0001L,A/C and Refrigeration Theory (1 of 2),0.5,CT,
ACR,0002C,A/C and Refrigeration Theory (2 of 2),0.5,CT,
ACR,0002L,A/C and Refrigeration Theory (2 of 2),0.5,CT,
ACR,0009C,"Install, Maintain and Repair Basic Air Conditioning Systems",0.5,CT,
ACR,000C,Overview of Air Conditioning (PSAV),1.5,CT,
ACR,0044C,"A/C, Refrigeration and Heating Technician OCP B (350 hours)",2,CT,
ACR,0061C,Psychometrics,0.5,CT,
ACR,0100C,Basic Electricity (PSAV),0.5,CT,
ACR,0205C,Compressors,0.5,CT,
ACR,022C,Domestic Refrigeration,0.5,CT,
ACR,0601C,Heat Pumps (PSAV),0.5,CT,
ACR,0610C,"Heat Pumps, Electric Heat, Gas/Oil Furnaces & Boilers",0.5,CT,
ACR,0741C,Commercial Refrigeration (PSAV),0.5,CT,
ACR,0815C,Advanced Service Practices,0.5,CT,
ACR,0850C,Trouble Shooting,1,CT,
ACR,X067,Heating & Cooling Load Calculations (L),0.5,CT,
ACR,X071,Business Management/Entrepreneurship,0.5,CT,
ACR,X101,Applied Electricity (1 of 2),0.5,CT,
ACR,X102,Applied Electricity (2 of 2),0.5,CT,
ACR,X102C,Applied Electricity (2 of 2),0.5,CT,
ACR,X103,Basic Electricity: Second Course,0.5,CT,
ACR,X112,Basic Electricity for A/C and Refrigeration (L),0.5,CT,
ACR,X113,Applied Electricity II (L),0.5,CT,
ACR,X611,Applied Heating (L),0.5,CT,
ACR,X740,Components of Refrigeration (L),0.5,CT,
AER,0010,Basic Skills and Safety (PSAV),1.5,CT,
AER,0011,Automotive Maintenance Technician OCP A (400 hours),2.5,CT,
AER,0014,Automotive Services Assistor OCP A (300 hours),2,CT,
AER,0025,Maintenance and Light Repair Technician 1 (150 hours),1,CT,
AER,0026,Maintenance and Light Repair Technician 2,1,CT,
AER,0027,Maintenance and Light Repair Technician 3,1,CT,
AER,0028,Maintenance and Light Repair Technician 4,1,CT,
AER,0075,Introduction to Automotive Service Advisor (75 hours),0.5,CT,
AER,0076,Introduction to Automotive Customer Service (75 hours),0.5,CT,
AER,0077,Dealership Policies and Protocols,0.5,CT,
AER,0081,Introduction to Auto Body (L) OCP B (150 hours),0.5,CT,
AER,0110,Engine Repair Technician,1,CT,
AER,0118,Advanced Engine Repair Technician OCP B (200 hours),1,CT,
AER,0172,Automotive Heating and Air Conditioning OCP H (150 hours),1,CT,
AER,0173,Advanced Automotive Heating and Air Conditioning OCP H (200 hours),1,CT,
AER,0190,"Combination: Brakes, AC, Trains, Axles",0.5,CT,
AER,0198,Engine Mechanical Service & Repair (L),0.5,CT,
AER,0199,Engine Repair (PSAV),1,CT,
AER,0257,Automatic Transmission/Transaxle Technician OCP C (150 hours),1,CT,
AER,0258,Advanced Automatic Transmission and Transaxle Technician OCP C (200 hours),1,CT,
AER,0274,Manual Drivetrain and Axle Technician OCP D (150 hours),1,CT,
AER,0275,Advance Manual Drivetrain and Axle Technician OCP D (200 hours),1,CT,
AER,0299,Automatic Transmission and Transaxles (PSAV),1,CT,
AER,0319,Advanced Automotive Electrical/Electronic System Technician OCP G (400 hours),2.5,CT,
AER,0360,Automotive Electrical/Electronics Systems Technician OCP G (300 hours),2,CT,
AER,0398,Manual Transmissions and Drivelines (L),0.5,CT,
AER,0399,Auto Manual Transmission/Transaxles (PSAV),1,CT,
AER,0418,Automotive Brake System Technician OCP F (150 hours),1,CT,
AER,0419,Advanced Automotive Brake System Technician OCP F (200 hours),1,CT,
AER,0450,Automobile Suspension and Steering Technician,0.5,CT,
AER,0453,Automotive Suspension and Steering Technician OCP E (150 hours),1,CT,
AER,0459,Advanced Automotive Suspension and Steering Technician OCP E (200 hours),1,CT,
AER,0498,Automotive Steering Suspension Systems (L),0.5,CT,
AER,0499,"Steering, Suspension & Alignment (PSAV)",1,CT,
AER,0503,Automotive Engine Performance Technician OCP I (300 hours),2,CT,
AER,0506,Advanced Automotive Engine Performance Technician OCP I (400 hours),2.5,CT,
AER,0599,L1 Auto Advanced Engine Performance Specialty ASE Test Prep,1,CT,
AER,0691,Electrical Systems (PSAV),1,CT,
AER,0692,Electrical/Electronic Systems II (PSAV),1,CT,
AER,0759,Automotive Service Technology II (PSAV),0.5,CT,
AER,0871,Automotive Compresses Natural Gas Technician (150 hours),1,CT,
AER,0875,Alternative Fuels Maintenance Technician (300 hours),2,CT,
AER,0876,Advanced Alternative Fuels Technician (300 hours),2,CT,
AER,0891,Engine Performance I (PSAV),1,CT,
AER,0892,Engine Performance II (PSAV),1,CT,
AER,0945,Dealership Internship,1,CT,
AER,0014C,Automotive Services Assistor OCP A (300 hours),2,CT,
AER,0021C,Automotive Service Assistor Core (PSAV),0.5,CT,
AER,0110C,Engine Repair Technician,1,CT,
AER,0172C,Automotive Heating and Air Conditioning OCP H (150 hours),1,CT,
AER,0190C,"Combination: Brakes, AC, Trains, Axles",0.5,CT,
AER,0190L,"Combination: Brakes, AC, Trains, Axles",0.5,CT,
AER,0198C,Engine Mechanical Service & Repair (L),0.5,CT,
AER,0199C,Engine Repair (PSAV),1,CT,
AER,0257C,Automatic Transmission/Transaxle Technician OCP C (150 hours),1,CT,
AER,0274C,Manual Drivetrain and Axle Technician OCP D (150 hours),1,CT,
AER,0299C,Automatic Transmission and Transaxles (PSAV),1,CT,
AER,0320L,Manual and Automatic Transmissions (PSAV),1,CT,
AER,0360C,Automotive Electrical/Electronics Systems Technician OCP G (300 hours),2,CT,
AER,0399C,Auto Manual Transmission/Transaxles (PSAV),1,CT,
AER,0401L,Basic Hydraulics,1,CT,
AER,0418C,Automotive Brake System Technician OCP F (150 hours),1,CT,
AER,0453C,Automotive Suspension and Steering Technician OCP E (150 hours),1,CT,
AER,0499C,"Steering, Suspension & Alignment (PSAV)",1,CT,
AER,0503C,Automotive Engine Performance Technician OCP I (300 hours),2,CT,
AER,0560L,Introduction to Automotive Technology and Braking Systems (PSAV),1,CT,
AER,0599C,L1 Auto Advanced Engine Performance Specialty ASE Test Prep,0.5,CT,
AER,0691C,Electrical Systems (PSAV),1,CT,
AER,0691L,Electrical Systems (PSAV),3,CT,
AER,0692C,Electrical/Electronic Systems II (PSAV),1,CT,
AER,0697C,Advanced Auto Electrical/Electronics (PSAV),1.5,CT,
AER,0697L,Advanced Auto Electrical/Electronics (PSAV),1,CT,
AER,0759C,Automotive Service Technology II (PSAV),0.5,CT,
AER,0797C,Automotive Heating and Air Conditioning (PSAV),1,CT,
AER,0797L,Automotive Heating and Air Conditioning (PSAV),0.5,CT,
AER,0892C,Engine Performance II (PSAV),0.5,CT,
AER,0893C,Engine Performance III,1,CT,
AER,X298,A2 Automatic Transmission/Transaxle AS Test Prep,0.5,CT,
AER,X598,A8 Engine Performance ASE Test Prep,0.5,CT,
AER,X598C,A8 Engine Performance ASE Test Prep,0.5,CT,
AER,X695,Electrical Systems II (PSAV),0.5,CT,
AER,X695C,Electrical Systems II (PSAV),0.5,CT,
AER,X698C,Automotive Electrical and Electronic Systems,0.5,CT,
AER,X758,Automotive Heating and Air Conditioning (L),0.5,CT,
AER,X758C,Automotive Heating and Air Conditioning (L),0.5,CT,
AER,X895C,Advanced Engine Performance (L),0.5,CT,
AER,X898C,Automotive Engine Performance (L),0.5,CT,
AFR,X100,Introduction to Aerospace Workplace,0.5,CT,
AMT,0125,"Aircraft Coating Safety, Inspection and Environmental Regulations",0.5,CT,
AMT,0126,Aircraft Coating Technician,1,CT,
AMT,0133,Aircraft Surface Prep Technician,1,CT,
AMT,0700,Aviation General Maintenance Technician Helper OCP A (480 hours),3,CT,
